ts,open,high,low,close,volume
1767225600000,2971.58,2974.94,2971.2,2974.72,135.76521
1767225900000,2974.72,2980.75,2974.72,2978.28,487.58701
1767226200000,2978.28,2978.88,2976.46,2976.46,104.58659
1767226500000,2976.46,2978.43,2976.46,2977.85,109.76262
1767226800000,2977.85,2980.48,2977.84,2978.41,92.3905
1767227100000,2978.41,2980.87,2978.41,2979.73,154.56194
1767227400000,2979.73,2981.01,2978.67,2980.55,133.99823
1767227700000,2980.55,2980.91,2978.46,2979.68,134.90312
1767228000000,2979.68,2980.61,2978.98,2980.08,111.16639
1767228300000,2980.08,2982.32,2979.33,2982.32,141.44914
1767228600000,2982.32,2983.28,2980.43,2980.51,155.22346
1767228900000,2980.51,2981.55,2980.06,2980.06,59.40158
1767229200000,2980.06,2982.48,2980.05,2981.75,84.39755
1767229500000,2981.75,2985.56,2981.17,2985.15,304.38196
1767229800000,2985.15,2987.35,2983.81,2986.28,229.36095
1767230100000,2986.28,2989.5,2985.44,2985.55,277.50873
1767230400000,2985.55,2985.74,2983.09,2984.73,120.72016
1767230700000,2984.73,2985.15,2982.63,2982.64,117.8987
1767231000000,2982.64,2984.19,2981.17,2981.68,176.80409
1767231300000,2981.68,2982.88,2979.27,2982.5,133.71661
1767231600000,2982.5,2987.1,2982.5,2986.49,129.92781
1767231900000,2986.49,2987.38,2984.58,2984.94,175.92547
1767232200000,2984.94,2988.54,2984.94,2987.89,89.77935
1767232500000,2987.89,2988.38,2984.3,2984.55,127.69286
1767232800000,2984.55,2985.56,2983.32,2985.56,114.62097
1767233100000,2985.56,2987.62,2985.16,2985.85,85.92746
1767233400000,2985.85,2985.93,2984.93,2985.93,58.16971
1767233700000,2985.93,2988.38,2985.44,2986.44,161.2261
1767234000000,2986.44,2987.53,2985.06,2985.99,85.23321
1767234300000,2985.99,2986.0,2983.1,2984.52,121.88194
1767234600000,2984.52,2987.27,2983.89,2984.37,204.71002
1767234900000,2984.37,2985.55,2982.4,2984.82,104.38563
1767235200000,2984.82,2985.83,2983.02,2983.02,34.08146
1767235500000,2983.02,2984.11,2982.22,2982.48,60.91057
1767235800000,2982.48,2982.87,2981.16,2982.83,89.22116
1767236100000,2982.83,2984.14,2982.24,2982.76,62.03464
1767236400000,2982.76,2983.74,2981.92,2983.6,59.60637
1767236700000,2983.6,2983.8,2981.86,2983.49,76.00677
1767237000000,2983.49,2984.74,2983.22,2984.74,95.97049
